OBJECTID,POINT_X,POINT_Y,East (X),North (Y),Z__depth_
1,32.81649849,39.8171076,484294.652,4407474.363,0
2,32.8161043,39.81798586,484261.115,4407571.908,0
3,32.8162517,39.81968737,484274.118,4407760.727,0
4,32.81626816,39.82011088,484275.624,4407807.728,0
5,32.8173404,39.82344507,484368.145,4408177.592,0
6,32.81930006,39.82448289,484536.084,4408292.436,0
7,32.82037604,39.82446493,484628.16,4408290.257,0
8,32.82174261,39.82483562,484745.19,4408331.165,0
9,32.82272853,39.82560152,484829.731,4408416.002,0
10,32.82421829,39.82576913,484957.256,4408434.353,0
11,32.82530549,39.8259502,485050.334,4408454.267,0
12,32.82744174,39.82571076,485233.095,4408427.338,0
13,32.82883423,39.8252461,485352.16,4408375.538,0
14,32.82954955,39.82509196,485413.343,4408358.313,0
15,32.8308328,39.82557458,485523.261,4408411.669,0
16,32.83074376,39.82626372,485515.786,4408488.169,0
17,32.83064873,39.82640738,485507.684,4408504.129,0
18,32.82960642,39.82692517,485418.597,4408561.766,0
19,32.82896293,39.82718481,485363.585,4408590.688,0
20,32.82792062,39.82767566,485274.495,4408645.337,0
21,32.8265431,39.82884068,485156.866,4408774.867,0
22,32.83136934,39.83183454,485570.486,4409106.357,0
23,32.83028957,39.83211052,485478.149,4409137.162,0
24,32.83391782,39.83108093,485788.401,4409022.308,0
25,32.83513746,39.83072178,485892.692,4408982.254,0
26,32.83604135,39.83026086,485969.944,4408930.956,0
27,32.83687265,39.83040227,486041.107,4408946.52,0
28,32.83860504,39.83030313,486189.329,4408935.248,0
29,32.83960375,39.83042023,486274.813,4408948.091,0
30,32.84173146,39.83116671,486457.0286,4409030.616,0
